date,deathIncrease,positiveIncrease
20200203,0,0
20200204,0,0
20200205,0,0
20200206,0,0
20200207,0,1
20200210,0,0
20200211,0,0
20200212,0,0
20200213,0,0
20200214,0,0
20200218,0,0
20200219,0,0
20200220,0,0
20200221,0,0
20200224,0,0
20200225,0,0
20200226,2,0
20200227,0,0
20200228,2,7
20200302,3,40
20200303,3,42
20200304,2,133
20200305,4,98
20200306,6,98
20200309,4,253
20200310,2,329
20200311,6,442
20200312,8,577
20200313,4,930
20200316,21,1462
20200317,22,2213
20200318,27,2719
20200319,43,4385
20200320,65,5842
20200323,84,10928
20200324,205,10227
20200325,227,12278
20200326,280,17255
20200327,375,18642
20200330,539,21333
20200331,822,24474
20200401,942,25145
20200402,1108,28123
20200403,1202,31896
20200406,1215,28799
20200407,1914,30483
20200408,1906,30150
20200409,1938,34325
20200413,1539,25121
20200414,2309,26014
20200415,2499,30332
20200416,2145,31082
20200417,2072,31891
20200420,1722,25309
20200421,2534,26008
20200422,2042,28642
20200423,1816,31801
20200424,1860,34245
20200427,1199,21147
20200428,2111,25111
20200429,2707,27186
20200430,2134,29368
20200501,1737,33222
20200504,928,21639
20200505,2509,22121
20200506,1943,25099
20200507,2740,27506
20200508,1766,27697
20200511,847,17345
20200512,1516,21483
20200513,1687,20491
20200514,1905,26951
20200515,1489,24488
20200518,787,19684
20200519,1414,20940
20200520,1394,21342
20200521,1431,25903
20200522,1285,24159
20200526,636,16206
20200527,1315,19122
20200528,1286,22480
20200529,1185,23934
